id,nume,post,iesiri_din_poarta,plonjari,goluri_primite,minute_jucate,boxari,parade,pase_gol,sanse_create,goluri,precizie_pase,suturi,suturi_blocate,precizie_suturi,centrari,pase_cheie,mingi_profunzime,pase,dueluri_aeriene_pierdute,dueluri_aeriene_castigate,degajari,deposedat,driblinguri_incercate,driblinguri_reusite,dueluri_pierdute,dueluri_castigate,faulturi,interceptii,recuperari,deposedari_incercate,deposedari_reusite,faultat,cartonase_galbene,cartonase_rosii,rating
500502,Adam Masina,fundas,0,0,0,73,0,0,0,0,0,91,0,0,0,2,1,3,22,4,4,0,0,0,0,6,5,2,0,5,1,0,0,0,0,6.5
251925,Gerard Deulofeu,atacant,0,0,0,90,0,0,0,0,0,78,2,0,50,9,0,0,23,0,0,0,3,7,3,9,4,2,1,4,1,1,0,1,0,5.9
210278,Roberto Pereyra,atacant,0,0,0,90,0,0,0,0,0,78,1,0,100,2,0,1,32,1,0,1,4,3,3,9,7,3,2,5,2,1,2,1,0,6.3
210276,Manuel Lanzini,mijlocas,0,0,0,24,0,0,0,0,0,91,0,0,0,1,1,6,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.1
683450,Pablo Fornals,mijlocas,0,0,0,12,0,0,0,1,0,60,0,0,0,2,1,0,5,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,6.2
37623,Roberto,portar,0,1,0,90,0,2,0,0,0,0,0,0,0,0,0,22,27,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,6
30509,Pablo Zabaleta,fundas,0,0,0,90,0,0,0,0,0,75,0,0,0,5,1,2,59,2,1,2,0,0,0,3,3,1,3,1,2,2,0,0,0,7.1
307438,Fabian Balbuena,fundas,0,0,0,90,0,0,0,0,0,73,1,0,0,0,0,9,63,0,8,2,1,0,0,4,10,1,2,9,2,2,1,1,0,7
696443,Issa Diop,fundas,0,0,0,90,0,0,0,0,0,83,1,0,0,0,0,8,59,1,7,1,0,2,1,2,8,0,2,9,0,0,0,1,0,7
155782,Aaron Cresswell,fundas,0,0,0,90,0,0,0,0,0,84,1,0,100,3,0,7,64,3,0,1,0,1,1,5,3,1,0,7,0,0,2,0,0,6.5
654096,Declan Rice,mijlocas,0,0,0,90,0,0,0,0,0,90,1,0,100,0,0,9,62,1,0,1,1,3,3,4,6,0,2,8,2,2,1,0,0,7.3
132035,Andriy Yarmolenko,atacant,0,0,0,90,0,0,1,4,0,84,3,1,0,2,4,4,37,2,0,0,2,2,1,5,2,0,0,7,1,1,0,0,0,7.2
37169,Mark Noble,mijlocas,0,0,0,78,0,0,0,0,0,84,1,0,0,2,0,5,55,0,0,0,0,0,0,3,1,0,0,3,1,0,0,0,0,6.1
32728,Robert Snodgrass,mijlocas,0,0,0,86,0,0,0,1,1,88,2,0,50,17,2,0,33,2,1,0,1,2,1,7,4,1,0,6,1,0,2,0,0,7.8
230190,Felipe Anderson,atacant,0,0,0,66,0,0,0,0,0,83,2,0,50,1,0,3,42,0,0,0,2,3,3,4,6,0,0,6,2,1,1,0,0,6.7
352968,Sebastien Haller,atacant,0,0,0,90,0,0,0,0,0,76,0,0,0,1,2,1,17,13,4,0,0,1,0,16,6,2,0,1,0,0,3,0,0,5.6
961995,Bukayo Saka,fundas,0,0,0,17,0,0,0,0,0,80,0,0,0,2,0,0,10,0,1,0,2,0,0,5,3,1,0,0,2,1,0,0,0,5.6
1021586,Gabriel Martinelli,atacant,0,0,0,30,0,0,0,0,0,100,0,0,0,2,0,0,3,2,0,0,1,1,1,3,2,0,0,2,0,0,1,0,0,5.8
215168,Bernd Leno,portar,0,3,0,90,0,7,0,0,0,0,0,0,0,0,0,9,23,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7.1
425255,Calum Chambers,fundas,0,0,0,90,0,0,0,0,0,84,1,0,0,4,0,2,62,4,2,4,5,3,2,12,7,2,1,6,1,0,2,0,0,6
39455,Sokratis Papastathopoulos,fundas,0,0,0,90,0,0,0,0,0,88,1,0,0,0,0,5,49,2,1,5,0,0,0,4,4,1,0,3,1,1,2,0,0,6.6
52133,David Luiz,fundas,0,0,0,90,0,0,0,0,0,81,0,0,0,1,0,10,42,2,0,3,0,0,0,4,1,1,0,3,0,0,1,0,0,6
